operationc,operationb,operationa,correctresponse,valuey,operationd,condition,valuex,Rule,Operatora,Length,Intermediate,CorrectResponse,Result,Y,X,Operatorc,Operatorb,Operatord,Structure,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,practice_encoding.keys,practice_encoding.rt,practice_execution.keys,practice_execution.corr,practice_execution.rt,encoding.keys,execution.keys,execution.corr,encoding.rt,execution.rt,date,frameRate,expName,session,participant,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'THIRD', 'x', 'y')",double,3,"(2, 4, 1)",1,1,4,6,third,DIVIDE,0,BUUxy,,,,,0,8,8,4,,,,,,space,1,1,5.93295539613,7.53289639228,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('HALF', 'TIMES', 'x', 'y')",TIMES,2,"(16, 8)",8,8,4,4,0,half,0,UBxy,,,,,0,9,9,3,,,,,,space,8,1,1.68336459098,5.48307734088,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('HALF', 'SUBTRACT', 'TRIPLE', 'x', 'y')",SUBTRACT,3,"(9, 2, 1)",1,1,7,3,triple,half,0,UBUxy,,,,,0,10,10,6,,,,,,space,1,1,8.88275068498,13.3824267938,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DOUBLE', 'DECREASE', 'SUBTRACT', 'x', 'y')",decrease,3,"(5, 4, 8)",8,8,2,7,SUBTRACT,double,0,UUBxy,,,,,0,11,11,8,,,,,,space,8,1,2.04999193328,5.03310899506,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DOUBLE', 'DECREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",decrease,4,"(1, 3, 2, 4)",4,4,4,4,triple,double,DIVIDE,UUUBxy,,,,,0,12,12,17,,,,,,space,8,0,4.58311545197,9.84936381888,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DOUBLE', 'TRIPLE', 'SUBTRACT', 'x', 'y')",triple,3,"(1, 3, 6)",6,6,3,4,SUBTRACT,double,0,UUBxy,,,,,0,13,13,9,,,,,,space,6,1,2.18312294106,5.78304223961,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DECREASE', 'TIMES', 'DOUBLE', 'THIRD', 'x', 'y')",TIMES,4,"(1, 2, 8, 7)",7,7,4,3,double,decrease,third,UBUUxy,,,,,0,14,14,13,,,,,,space,1,0,4.56643479259,0.950093107764,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DECREASE', 'THIRD', 'TIMES', 'HALF', 'x', 'y')",third,4,"(2, 12, 4, 3)",3,3,6,4,TIMES,decrease,half,UUBUxy,,,,,0,15,15,14,,,,,,space,3,1,4.69975653046,8.19951453072,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DECREASE', 'ADD', 'DOUBLE', 'THIRD', 'x', 'y')",ADD,4,"(3, 6, 10, 9)",9,9,4,9,double,decrease ,third,UBUUxy,,,,,0,16,16,12,,,,,,space,9,1,3.94983308483,10.3326182412,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('ADD', 'DOUBLE', 'x', 'y')",double,2,"(4, 8)",8,8,4,2,0,ADD,0,BUxy,,,,,0,17,17,0,,,,,,space,8,1,1.51670708158,2.54998825875,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('TIMES', 'HALF', 'INCREASE', 'THIRD', 'x', 'y')",half,4,"(1, 2, 1, 9)",9,9,9,3,increase,TIMES,third,BUUUxy,,,,,0,0,0,11,,,,,,space,1,0,6.29960653605,8.68280394946,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('INCREASE', 'TIMES', 'TRIPLE', 'HALF', 'x', 'y')",TIMES,4,"(1, 3, 6, 7)",7,7,2,2,triple,increase,half,UBUUxy,,,,,0,1,1,13,,,,,,space,6,0,5.51641556213,9.19926570659,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('TRIPLE', 'INCREASE', 'SUBTRACT', 'x', 'y')",increase,3,"(1, 2, 6)",6,6,2,3,SUBTRACT,triple,0,UUBxy,,,,,0,2,2,9,,,,,,space,6,1,5.59969532187,5.36642471352,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('TRIPLE', 'HALF', 'ADD', 'x', 'y')",half,3,"(6, 3, 9)",9,9,3,3,ADD,triple,0,UUBxy,,,,,0,3,3,8,,,,,,space,9,1,1.73334707518,4.34983994416,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('INCREASE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(4, 5)",5,5,2,8,0,increase,0,UBxy,,,,,0,4,4,3,,,,,,space,5,1,1.68335164222,3.51656429656,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('TRIPLE', 'INCREASE', 'DIVIDE', 'DOUBLE', 'x', 'y')",increase,4,"(16, 2, 3, 9)",9,9,8,8,DIVIDE,triple,double,UUBUxy,,,,,0,5,5,15,,,,,,space,9,1,2.61666540091,10.7659601721,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('SUBTRACT', 'INCREASE', 'HALF', 'x', 'y')",increase,3,"(4, 5, 3)",3,3,2,8,half,SUBTRACT,0,BUUxy,,,,,0,6,6,5,,,,,,space,2,0,1.71664191841,15.2822759944,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('THIRD', 'INCREASE', 'HALF', 'TIMES', 'x', 'y')",increase,4,"(28, 14, 15, 5)",5,5,4,7,half,third,TIMES,UUUBxy,,,,,0,7,7,17,,,,,,space,5,1,8.34941963805,11.0326102972,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('HALF', 'TIMES', 'DECREASE', 'x', 'y')",TIMES,3,"(8, 16, 8)",8,8,2,9,decrease,half,0,UBUxy,,,,,0,8,8,6,,,,,,space,8,1,2.08331265626,5.63338910579,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('ADD', 'HALF', 'x', 'y')",half,2,"(2, 7)",7,7,5,4,0,ADD,0,BUxy,,,,,0,9,9,0,,,,,,space,7,1,1.41664167342,2.28342037508,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('TRIPLE', 'DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",double,4,"(5, 1, 2, 6)",6,6,4,4,SUBTRACT,triple,increase,UUBUxy,,,,,0,10,10,14,,,,,,space,4,0,4.21650245797,7.88287037238,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DIVIDE', 'TRIPLE', 'DECREASE', 'x', 'y')",triple,3,"(6, 18, 9)",9,9,2,7,decrease,DIVIDE,0,BUUxy,,,,,0,11,11,4,,,,,,space,1,0,3.01659631822,15.4987172089,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'x', 'y')",DIVIDE,3,"(6, 2, 3)",3,3,3,2,triple,increase,0,UBUxy,,,,,0,12,12,7,,,,,,space,3,1,4.58308955457,10.0160871212,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('SUBTRACT', 'TRIPLE', 'x', 'y')",triple,2,"(12, 9)",9,9,3,4,0,SUBTRACT,0,BUxy,,,,,0,13,13,1,,,,,,space,9,1,1.39985427517,3.2499519675,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'INCREASE', 'TRIPLE', 'x', 'y')",double,4,"(9, 10, 20, 5)",5,5,4,3,increase,DIVIDE,triple,BUUUxy,,,,,0,14,14,10,,,,,,space,5,1,7.29953619337,10.91595697,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DECREASE', 'THIRD', 'DOUBLE', 'ADD', 'x', 'y')",third,4,"(9, 18, 6, 5)",5,5,4,5,double,decrease,ADD,UUUBxy,,,,,0,15,15,16,,,,,,space,3,0,4.91622644174,9.89955278172,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('HALF', 'SUBTRACT', 'DECREASE', 'TRIPLE', 'x', 'y')",SUBTRACT,4,"(15, 14, 10, 5)",5,5,4,5,decrease,half,triple,UBUUxy,,,,,0,16,16,12,,,,,,space,3,0,5.66632836859,13.6823871429,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DOUBLE', 'DIVIDE', 'x', 'y')",DIVIDE,2,"(1, 2)",2,2,8,8,0,double,0,UBxy,,,,,0,17,17,2,,,,,,space,2,1,1.11674151802,1.38341194089,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DOUBLE', 'ADD', 'x', 'y')",ADD,2,"(4, 8)",8,8,2,2,0,double,0,UBxy,,,,,0,0,0,2,,,,,,space,6,0,1.81642945565,4.98310656287,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('INCREASE', 'DIVIDE', 'TRIPLE', 'HALF', 'x', 'y')",DIVIDE,4,"(2, 6, 2, 3)",3,3,3,4,triple,increase,half,UBUUxy,,,,,0,1,1,12,,,,,,space,1,0,8.5992368696,9.31606286881,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DOUBLE', 'TIMES', 'x', 'y')",TIMES,2,"(4, 8)",8,8,2,2,0,double,0,UBxy,,,,,0,2,2,3,,,,,,space,8,1,0.783415300539,2.83330189495,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('TRIPLE', 'DOUBLE', 'SUBTRACT', 'DECREASE', 'x', 'y')",double,4,"(4, 1, 2, 6)",6,6,3,5,SUBTRACT,triple,decrease,UUBUxy,,,,,0,3,3,15,,,,,,space,4,0,7.39952915907,1.65002671967,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('ADD', 'THIRD', 'x', 'y')",third,2,"(1, 7)",7,7,6,3,0,ADD,0,BUxy,,,,,0,4,4,0,,,,,,space,7,1,2.39994771546,10.1827099842,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('THIRD', 'INCREASE', 'SUBTRACT', 'x', 'y')",increase,3,"(2, 3, 1)",1,1,6,8,SUBTRACT,third,0,UUBxy,,,,,0,5,5,9,,,,,,space,3,0,2.56660872442,14.7656315564,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DIVIDE', 'DOUBLE', 'INCREASE', 'THIRD', 'x', 'y')",double,4,"(2, 3, 6, 2)",2,2,3,6,increase,DIVIDE,third,BUUUxy,,,,,0,6,6,10,,,,,,space,6,0,5.99965283624,9.06609620282,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DIVIDE', 'TRIPLE', 'HALF', 'x', 'y')",triple,3,"(4, 12, 4)",4,4,3,8,half,DIVIDE,0,BUUxy,,,,,0,7,7,4,,,,,,space,4,1,1.91666809563,10.5826412514,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('INCREASE', 'ADD', 'TRIPLE', 'x', 'y')",ADD,3,"(6, 8, 9)",9,9,2,2,triple,increase,0,UBUxy,,,,,0,8,8,6,,,,,,space,9,1,2.04999788268,11.499252653,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('TIMES', 'INCREASE', 'HALF', 'TRIPLE', 'x', 'y')",increase,4,"(6, 3, 4, 8)",8,8,2,2,half,TIMES,triple,BUUUxy,,,,,0,9,9,11,,,,,,space,4,0,6.99957059487,0.0668699721573,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('THIRD', 'INCREASE', 'ADD', 'DOUBLE', 'x', 'y')",increase,4,"(16, 20, 21, 7)",7,7,4,8,ADD,third,double,UUBUxy,,,,,0,10,10,14,,,,,,space,4,0,3.26654338627,4.5831581474,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('INCREASE', 'SUBTRACT', 'THIRD', 'x', 'y')",SUBTRACT,3,"(3, 1, 2)",2,2,2,9,third,increase,0,UBUxy,,,,,0,11,11,7,,,,,,space,2,1,4.64977019653,8.2662021718,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('SUBTRACT', 'INCREASE', 'x', 'y')",increase,2,"(6, 2)",2,2,4,5,0,SUBTRACT,0,BUxy,,,,,0,12,12,1,,,,,,space,2,1,1.91667124536,15.1655918706,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DECREASE', 'TRIPLE', 'HALF', 'ADD', 'x', 'y')",triple,4,"(6, 3, 9, 8)",8,8,2,4,half,decrease,ADD,UUUBxy,,,,,0,13,13,16,,,,,,space,6,0,2.81658658921,7.83287948905,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('THIRD', 'TIMES', 'HALF', 'INCREASE', 'x', 'y')",TIMES,4,"(8, 4, 12, 4)",4,4,3,7,half,third,increase,UBUUxy,,,,,0,14,14,13,,,,,,space,5,0,8.34945078485,7.13294447726,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('TRIPLE', 'DECREASE', 'HALF', 'SUBTRACT', 'x', 'y')",decrease,4,"(4, 2, 1, 3)",3,3,5,9,half,triple,SUBTRACT,UUUBxy,,,,,0,15,15,17,,,,,,space,9,0,3.59986610408,1.85001615086,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DECREASE', 'TRIPLE', 'DIVIDE', 'x', 'y')",triple,3,"(2, 6, 5)",5,5,4,8,DIVIDE,decrease,0,UUBxy,,,,,0,16,16,8,,,,,,space,7,0,2.35043348221,4.74979920848,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('TIMES', 'THIRD', 'DOUBLE', 'x', 'y')",third,3,"(6, 2, 4)",4,4,2,3,double,TIMES,0,BUUxy,,,,,0,17,17,5,,,,,,space,4,1,1.50004532025,6.04968046583,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('ADD', 'DOUBLE', 'DECREASE', 'x', 'y')",double,3,"(1, 2, 7)",7,7,5,2,decrease,ADD,0,BUUxy,,,,,0,0,0,4,,,,,,space,4,0,1.80001511844,0.516823619488,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DOUBLE', 'SUBTRACT', 'INCREASE', 'x', 'y')",SUBTRACT,3,"(4, 1, 2)",2,2,3,3,increase,double,0,UBUxy,,,,,0,1,1,6,,,,,,space,1,0,0.300337259891,0.283501566621,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DECREASE', 'ADD', 'THIRD', 'HALF', 'x', 'y')",ADD,4,"(3, 1, 7, 6)",6,6,6,6,third,decrease,half,UBUUxy,,,,,0,2,2,12,,,,,,space,4,0,0.316790092969,0.0668843205785,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('HALF', 'ADD', 'x', 'y')",ADD,2,"(12, 6)",6,6,8,4,0,half,0,UBxy,,,,,0,3,3,3,,,,,,space,1,0,0.283465520362,0.250179093797,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('ADD', 'DECREASE', 'x', 'y')",decrease,2,"(2, 7)",7,7,5,3,0,ADD,0,BUxy,,,,,0,4,4,0,,,,,,space,3,0,0.533453884185,0.266853803885,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DECREASE', 'TRIPLE', 'SUBTRACT', 'DOUBLE', 'x', 'y')",triple,4,"(6, 3, 9, 8)",8,8,3,3,SUBTRACT,decrease,double,UUBUxy,,,,,0,5,5,15,,,,,,space,8,1,0.716759506147,0.250174544286,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('INCREASE', 'HALF', 'THIRD', 'TIMES', 'x', 'y')",half,4,"(12, 4, 2, 3)",3,3,4,3,third,increase,TIMES,UUUBxy,,,,,0,6,6,16,,,,,,space,7,0,0.383465835359,0.266861503012,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DIVIDE', 'DECREASE', 'x', 'y')",decrease,2,"(8, 2)",2,2,4,9,0,DIVIDE,0,BUxy,,,,,0,7,7,1,,,,,,space,6,0,0.366624542745,0.233511033119,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('HALF', 'INCREASE', 'TIMES', 'x', 'y')",increase,3,"(9, 10, 5)",5,5,3,3,TIMES,half,0,UUBxy,,,,,0,8,8,9,,,,,,space,4,0,0.60010652896,0.0835282338085,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('ADD', 'TRIPLE', 'DOUBLE', 'DECREASE', 'x', 'y')",triple,4,"(1, 2, 6, 8)",8,8,2,2,double,ADD,decrease,BUUUxy,,,,,0,9,9,11,,,,,,space,3,0,0.666761973407,0.233512433013,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('THIRD', 'HALF', 'INCREASE', 'SUBTRACT', 'x', 'y')",half,4,"(5, 6, 3, 1)",1,1,2,7,increase,third,SUBTRACT,UUUBxy,,,,,0,10,10,17,,,,,,space,9,0,0.283466570312,0.266836305731,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DECREASE', 'SUBTRACT', 'DOUBLE', 'THIRD', 'x', 'y')",SUBTRACT,4,"(3, 6, 4, 3)",3,3,2,9,double,decrease,third,UBUUxy,,,,,0,11,11,13,,,,,,space,7,0,0.316799891996,0.250182593474,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('ADD', 'TRIPLE', 'HALF', 'x', 'y')",triple,3,"(2, 6, 8)",8,8,2,4,half,ADD,0,BUUxy,,,,,0,12,12,5,,,,,,space,6,0,0.316881783423,0.0835355829913,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DECREASE', 'DOUBLE', 'TIMES', 'THIRD', 'x', 'y')",double,4,"(1, 3, 6, 5)",5,5,3,3,TIMES,decrease,third,UUBUxy,,,,,0,13,13,14,,,,,,space,2,0,0.283481968683,0.333505048766,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DOUBLE', 'THIRD', 'ADD', 'x', 'y')",third,3,"(9, 3, 6)",6,6,4,5,ADD,double,0,UUBxy,,,,,0,14,14,8,,,,,,space,6,1,0.333458153647,0.300173476804,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('ADD', 'DECREASE', 'THIRD', 'DOUBLE', 'x', 'y')",decrease,4,"(18, 6, 5, 9)",9,9,4,9,third,ADD,double,BUUUxy,,,,,0,15,15,10,,,,,,space,2,0,1.13350861834,0.650020420318,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('DECREASE', 'TIMES', 'x', 'y')",TIMES,2,"(9, 8)",8,8,3,3,0,decrease,0,UBxy,,,,,0,16,16,2,,,,,,space,1,0,0.350130763836,0.0502012115903,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
,,,,,,,,"('INCREASE', 'ADD', 'HALF', 'x', 'y')",ADD,3,"(1, 4, 5)",5,5,3,2,half,increase,0,UBUxy,,,,,0,17,17,7,,,,,,space,5,1,0.316796742263,0.283511715592,2017_Apr_21_0942,60.0046828458,KRITL,003,31041,
