Length	Participant	Chunks	encoding.rt	LogEncoding	EncodingSpeed
28	Length = 2	31011	Chunks = 2	1.42743060161	0.355259279861871	0.701422893776754
29	Length = 3	31011	Chunks = 2	2.7131900949525	0.989222978084399	0.375214640587904
30	Length = 4	31011	Chunks = 2	6.21145979407	1.82627631922016	0.16103127171387
31	Length = 2	31012	Chunks = 2	1.650810231955	0.49591018574801	0.612042019256236
32	Length = 3	31012	Chunks = 2	2.69379011508	0.990875908399442	0.371278564604005
33	Length = 4	31012	Chunks = 2	6.321305921605	1.66057983473335	0.254623049018401
34	Length = 2	31013	Chunks = 2	1.67016991776	0.497381520674492	0.617921004016435
35	Length = 3	31013	Chunks = 2	2.2126024649325	0.776505744632174	0.468208383099214
36	Length = 4	31013	Chunks = 2	4.01494414059	1.35567807967792	0.266779521273161
37	Length = 2	31014	Chunks = 2	2.1512279693625	0.756472977585146	0.473596709539295
38	Length = 3	31014	Chunks = 2	4.6161730898375	1.51220589926868	0.224293081265493
39	Length = 4	31014	Chunks = 2	6.70124046305	1.89649886547217	0.150945514403998
40	Length = 2	31015	Chunks = 2	1.46479860897	0.367779515459407	0.700902687315632
41	Length = 3	31015	Chunks = 2	2.52617306473	0.920382577323561	0.400888424139292
42	Length = 4	31015	Chunks = 2	4.735788907675	1.55287184368235	0.212119533835982
43	Length = 2	31016	Chunks = 2	1.8748458848275	0.628088503176354	0.533844484130162
44	Length = 3	31016	Chunks = 2	4.1406267006025	1.41992350426909	0.241958260811049
45	Length = 4	31016	Chunks = 2	7.5560254787475	2.01836326522544	0.133403730078707
46	Length = 2	31017	Chunks = 2	1.01847394222525	0.0173704430012072	0.983700287263241
47	Length = 3	31017	Chunks = 2	1.282895612585	0.246757897754101	0.783241245569251
48	Length = 4	31017	Chunks = 2	3.8070940123	1.31902238308529	0.272205734232473
49	Length = 2	31018	Chunks = 2	1.67702281517	0.514815589563515	0.598961226074499
50	Length = 3	31018	Chunks = 2	2.77329155703	1.0111661152167	0.367329032827488
51	Length = 4	31018	Chunks = 2	4.1394293880425	1.41977249524827	0.241956503611216
52	Length = 2	31019	Chunks = 2	1.16925677555175	0.146638147325662	0.87197368628752
53	Length = 3	31019	Chunks = 2	1.7406396142775	0.548168460700922	0.581586407289387
54	Length = 4	31019	Chunks = 2	4.2569408257125	1.44601339615713	0.236137004258235
55	Length = 2	31020	Chunks = 2	2.4226426722375	0.884677636570315	0.412922131974615
56	Length = 3	31020	Chunks = 2	5.6149941503575	1.72529003298515	0.178148516006197
