Length	Participant	Chunks	Offset	encoding.rt	LogEncoding	EncodingSpeed
110	Length = 4	31002	Chunks = 3	2nd	3.65421970433	1.29588258322269	0.27365623331708
111	Length = 3	31003	Chunks = 3	2nd	1.427951170465	0.356182437519809	0.700385622694504
112	Length = 4	31003	Chunks = 3	2nd	4.30934983662	1.4607870427645	0.232053566759003
113	Length = 3	31004	Chunks = 3	2nd	0.975025262176	-0.0282595607141994	1.03171990778073
114	Length = 4	31004	Chunks = 3	2nd	1.46666538915	0.382991381221636	0.681818775705579
115	Length = 3	31005	Chunks = 3	2nd	5.906548376675	1.7759030834104	0.169357309758213
116	Length = 4	31005	Chunks = 3	2nd	8.85008579355	2.17928060713989	0.113252656139853
117	Length = 3	31006	Chunks = 3	2nd	2.12494708887	0.753370269337469	0.47095457377062
118	Length = 4	31006	Chunks = 3	2nd	3.03316813541	1.1096076625178	0.329688284775822
119	Length = 3	31007	Chunks = 3	2nd	3.629623045155	1.28912673128065	0.275511843008437
120	Length = 4	31007	Chunks = 3	2nd	5.47757389366	1.70066228279539	0.182562575953096
121	Length = 3	31008	Chunks = 3	2nd	2.84987131946	1.04684627373835	0.351193226098313
122	Length = 4	31008	Chunks = 3	2nd	3.55813979352	1.26910353013896	0.281121257355001
123	Length = 3	31009	Chunks = 3	2nd	2.17053527964	0.772469241339771	0.46302942550879
124	Length = 4	31009	Chunks = 3	2nd	5.94008940166	1.7817241840458	0.168347634586197
125	Length = 3	31010	Chunks = 3	2nd	3.405451494385	1.22392327227126	0.294502137968525
126	Length = 4	31010	Chunks = 3	2nd	5.20591091554	1.6494995386073	0.192202767656656
127	Length = 3	31011	Chunks = 3	2nd	3.237606349155	1.1730396847057	0.309980745796597
128	Length = 4	31011	Chunks = 3	2nd	7.28345035487	1.98445841139705	0.137612691497028
129	Length = 3	31012	Chunks = 3	2nd	4.58939156636	1.51366692562454	0.222331361117139
130	Length = 4	31012	Chunks = 3	2nd	10.7570905562	2.37556512376528	0.0929619393622782
131	Length = 3	31013	Chunks = 3	2nd	2.53061340549	0.928453986007373	0.395167226320034
132	Length = 4	31013	Chunks = 3	2nd	4.10928729587	1.41324724655185	0.243352349735536
133	Length = 3	31014	Chunks = 3	2nd	4.75037892295	1.55813481825759	0.210547236754982
134	Length = 4	31014	Chunks = 3	2nd	6.82202642155	1.92013536044724	0.146590225861128
135	Length = 3	31015	Chunks = 3	2nd	3.440840980315	1.23567338575435	0.290651344507872
136	Length = 4	31015	Chunks = 3	2nd	4.32517163025	1.46445182289128	0.231204697868186
137	Length = 3	31016	Chunks = 3	2nd	4.002669521435	1.38695415595483	0.249836945219262
138	Length = 4	31016	Chunks = 3	2nd	7.673600434805	2.03611329903654	0.130753595810095
139	Length = 3	31017	Chunks = 3	2nd	1.3003086875	0.262601688203322	0.769048157266887
140	Length = 4	31017	Chunks = 3	2nd	4.6454946032	1.53589784737215	0.215262331660263
141	Length = 3	31018	Chunks = 3	2nd	2.54025804907	0.93126244891015	0.394451444325852
142	Length = 4	31018	Chunks = 3	2nd	3.966177079425	1.37776680487221	0.252150050226213
143	Length = 3	31019	Chunks = 3	2nd	2.09768880619	0.740836170178212	0.476715133841175
144	Length = 4	31019	Chunks = 3	2nd	6.550345921395	1.87948549006129	0.152673577141237
145	Length = 3	31020	Chunks = 3	2nd	5.083996484975	1.62575993387606	0.196828555497965
146	Length = 4	31020	Chunks = 3	2nd	7.53392913449	2.0194167031319	0.132732865168859
147	Length = 3	31021	Chunks = 3	2nd	2.463959360815	0.90174116832173	0.405873889639214
148	Length = 4	31021	Chunks = 3	2nd	2.823067387915	1.03685664106773	0.354910631972982
149	Length = 3	31022	Chunks = 3	2nd	6.557283242075	1.88055786624835	0.152507827673117
150	Length = 4	31022	Chunks = 3	2nd	8.16923335933	2.10037506840171	0.12241050732844
151	Length = 3	31023	Chunks = 3	2nd	4.1078408968	1.41289756122865	0.243436886949297
152	Length = 4	31023	Chunks = 3	2nd	6.77227841275	1.91283757576337	0.147660792875456
153	Length = 3	31024	Chunks = 3	2nd	2.823797761695	1.02024126515218	0.366997652513709
154	Length = 4	31024	Chunks = 3	2nd	5.05350556668	1.62008217408139	0.197882437607953
155	Length = 3	31025	Chunks = 3	2nd	1.4130065293	0.34571972456928	0.707710813265242
156	Length = 4	31025	Chunks = 3	2nd	5.01635731084	1.61270403501208	0.199347841079635
157	Length = 3	31026	Chunks = 3	2nd	2.375826832475	0.861521428961882	0.424137602995201
158	Length = 4	31026	Chunks = 3	2nd	5.35203596504	1.67747704272861	0.186844783280997
159	Length = 3	31027	Chunks = 3	2nd	2.33199180666	0.846722755042966	0.428817973178153
160	Length = 4	31027	Chunks = 3	2nd	4.712995298935	1.55028094822603	0.212197412623753
161	Length = 3	31028	Chunks = 3	2nd	1.58403795563	0.459977254992779	0.631298004221295
162	Length = 4	31028	Chunks = 3	2nd	3.18663482466	1.1589436562567	0.313824343117337
163	Length = 3	31002	Chunks = 2	3rd	2.05398934359	0.7197839233673	0.486857443112232
164	Length = 3	31003	Chunks = 2	3rd	1.949194054425	0.663000977854791	0.517582692679226
165	Length = 3	31004	Chunks = 2	3rd	1.15000891406	0.139769693701639	0.869558477133532
166	Length = 3	31005	Chunks = 2	3rd	5.02360766154	1.6140959995897	0.199080967348502
167	Length = 3	31006	Chunks = 2	3rd	1.966692764355	0.676353331334163	0.508467829743964
168	Length = 3	31007	Chunks = 2	3rd	4.19103652171	1.43201187447859	0.239051644233766
169	Length = 3	31008	Chunks = 2	3rd	2.424906915765	0.884083907867999	0.413799104676749
170	Length = 3	31009	Chunks = 2	3rd	2.89893019662	1.06434177121569	0.344954839259651
171	Length = 3	31010	Chunks = 2	3rd	2.44179028481	0.892720804712737	0.409544334791213
