"Subject"	"Structure"	"Chunks"	"encoding.rt"	"execution.rt"	"LogEncoding"	"EncodingSpeed"
"31003"	"UBUxy"	"C3"	1.427951170465	3.18809421404	0.356182437519809	0.700385622694504
"31004"	"UBUxy"	"C3"	0.975025262176	2.708249140335	-0.0282595607141994	1.03171990778073
"31005"	"UBUxy"	"C3"	5.906548376675	5.73232448194	1.7759030834104	0.169357309758213
"31006"	"UBUxy"	"C3"	2.12494708887	4.441437430735	0.753370269337469	0.47095457377062
"31007"	"UBUxy"	"C3"	3.629623045155	3.19231598372	1.28912673128065	0.275511843008437
"31008"	"UBUxy"	"C3"	2.84987131946	2.91656740304	1.04684627373835	0.351193226098313
"31009"	"UBUxy"	"C3"	2.17053527964	3.75464672761	0.772469241339771	0.46302942550879
"31010"	"UBUxy"	"C3"	3.405451494385	2.855582090285	1.22392327227126	0.294502137968525
"31011"	"UBUxy"	"C3"	3.237606349155	3.532579386315	1.1730396847057	0.309980745796597
"31012"	"UBUxy"	"C3"	4.58939156636	4.310892209865	1.51366692562454	0.222331361117139
"31013"	"UBUxy"	"C3"	2.53061340549	5.954638083515	0.928453986007373	0.395167226320034
"31014"	"UBUxy"	"C3"	4.75037892295	3.62741487926	1.55813481825759	0.210547236754982
"31015"	"UBUxy"	"C3"	3.440840980315	2.94976099327	1.23567338575435	0.290651344507872
"31016"	"UBUxy"	"C3"	4.002669521435	5.195387761285	1.38695415595483	0.249836945219262
"31017"	"UBUxy"	"C3"	1.3003086875	4.42136168107	0.262601688203322	0.769048157266887
"31018"	"UBUxy"	"C3"	2.54025804907	3.336283233845	0.93126244891015	0.394451444325852
"31019"	"UBUxy"	"C3"	1.923309002715	2.620549120705	0.649919942343167	0.524246784287006
"31020"	"UBUxy"	"C3"	5.083996484975	3.6797011732	1.62575993387606	0.196828555497965
"31021"	"UBUxy"	"C3"	2.463959360815	3.16873349264	0.90174116832173	0.405873889639214
"31022"	"UBUxy"	"C3"	6.51738535772	5.54245402623	1.87447327675444	0.153435763747724
"31023"	"UBUxy"	"C3"	4.1078408968	7.44434548255	1.41289756122865	0.243436886949297
"31024"	"UBUxy"	"C3"	2.823797761695	8.461189224905	1.02024126515218	0.366997652513709
"31025"	"UBUxy"	"C3"	1.4130065293	3.34998937504	0.34571972456928	0.707710813265242
"31026"	"UBUxy"	"C3"	2.375826832475	3.97511777145	0.861521428961882	0.424137602995201
"31027"	"UBUxy"	"C3"	2.33199180666	3.57872585996	0.846722755042966	0.428817973178153
"31028"	"UBUxy"	"C3"	1.58403795563	3.49321438308	0.459977254992779	0.631298004221295
"31030"	"UBUxy"	"C3"	2.28069800918	4.80603729002	0.824481540490915	0.438462258473027
